,Employee_ID,Date_of_Joining,Gender,Company_Type,WFH_Setup_Available,Designation,Resource_Allocation,Mental_Fatigue_Score,Burn_Rate
3172,fffe31003700340034003100,2008-05-21,Male,Service,Yes,3.0,5.0,5.2,0.34
21286,fffe3400340031003100,2008-10-28,Female,Service,Yes,2.0,5.0,6.6,0.49
1590,fffe3200320033003200,2008-08-14,Female,Service,No,4.0,8.0,7.5,0.75
14404,fffe33003200300039003800,2008-05-15,Female,Service,No,3.0,6.0,7.7,0.56
5626,fffe31003900330035003900,2008-03-07,Female,Product,No,3.0,6.0,7.1,0.5
2359,fffe32003200300030003800,2008-06-15,Male,Service,Yes,4.0,9.0,7.3,0.7
7903,fffe32003700380033003100,2008-04-16,Female,Product,Yes,0.0,1.0,4.7,0.24
1849,fffe3600390035003900,2008-08-07,Female,Product,No,3.0,6.0,6.8,0.66
19511,fffe31003300310037003200,2008-02-13,Male,Service,Yes,2.0,4.0,7.0,0.47
19343,fffe32003000360030003500,2008-04-13,Male,Service,Yes,0.0,1.0,0.0,0.0
8420,fffe32003000330039003900,2008-02-09,Male,Service,Yes,0.0,1.0,1.3,0.09
20857,fffe32003700380036003400,2008-07-07,Female,Service,Yes,3.0,5.0,6.5,0.47
21891,fffe32003100360037003000,2008-07-27,Female,Service,No,3.0,5.0,4.6,0.28
3597,fffe32003400360037003300,2008-05-15,Male,Service,Yes,2.0,4.0,6.7,0.46
649,fffe32003800380039003400,2008-11-05,Male,Service,Yes,2.0,4.0,2.8,0.11
22577,fffe3500300039003200,2008-07-18,Female,Service,No,1.0,4.0,4.7,0.42
10758,fffe3900300035003500,2008-06-22,Male,Product,No,2.0,5.0,6.9,0.53
10364,fffe32003700350032003600,2008-10-14,Male,Product,No,4.0,7.0,6.5,0.64
6957,fffe31003000320031003400,2008-08-08,Female,Service,Yes,1.0,2.0,4.9,0.34
19563,fffe32003700360038003400,2008-05-24,Male,Service,No,3.0,6.0,8.1,0.63
18979,fffe32003600310036003400,2008-02-03,Female,Service,Yes,2.0,5.0,5.6,0.42
9404,fffe31003000370035003400,2008-04-05,Female,Service,Yes,3.0,5.0,6.5,0.43
16098,fffe3300360038003400,2008-02-28,Female,Product,Yes,1.0,1.0,3.7,0.24
22631,fffe3100380035003800,2008-03-31,Female,Service,Yes,2.0,4.0,4.0,0.32
15618,fffe33003100380037003300,2008-12-20,Male,Service,No,4.0,9.0,10.0,0.97
3370,fffe32003600320039003600,2008-12-19,Female,Product,Yes,4.0,7.0,6.5,0.64
1583,fffe31003800330037003700,2008-02-10,Male,Product,Yes,1.0,3.0,6.5,0.43
7425,fffe31003500340032003800,2008-03-21,Male,Service,No,2.0,4.0,6.4,0.63
17627,fffe31003400340039003100,2008-11-13,Female,Service,Yes,0.0,3.0,5.2,0.31
9629,fffe3300360030003000,2008-10-04,Male,Service,Yes,0.0,2.0,4.8,0.28
13509,fffe31003300390030003000,2008-01-11,Male,Service,Yes,2.0,2.0,2.8,0.18
18616,fffe31003100330036003700,2008-08-13,Male,Product,Yes,1.0,2.0,5.2,0.37
1646,fffe3700390037003700,2008-05-27,Male,Service,Yes,1.0,3.0,5.3,0.35
12216,fffe32003800310034003900,2008-06-17,Female,Service,Yes,4.0,5.0,6.7,0.49
20972,fffe31003700330039003500,2008-05-21,Female,Service,Yes,3.0,6.0,6.7,0.62
6856,fffe31003400330034003900,2008-12-21,Male,Service,Yes,2.0,5.0,5.0,0.44
15453,fffe32003500350034003500,2008-04-21,Male,Service,No,1.0,3.0,5.3,0.33
6538,fffe32003000340035003400,2008-06-29,Female,Service,Yes,2.0,2.0,4.4,0.23
3365,fffe32003800370033003000,2008-01-08,Female,Service,Yes,1.0,1.0,1.4,0.02
14067,fffe31003100350038003700,2008-11-14,Female,Service,Yes,2.0,4.0,5.2,0.4
6433,fffe31003100360038003200,2008-05-21,Male,Product,Yes,1.0,3.0,5.1,0.47
8238,fffe32003600360031003500,2008-02-27,Female,Service,Yes,1.0,2.0,4.2,0.25
18147,fffe31003300360037003600,2008-12-20,Male,Service,Yes,3.0,7.0,7.3,0.55
9545,fffe32003900360032003200,2008-11-19,Male,Product,No,3.0,6.0,7.5,0.69
12040,fffe32003600380032003100,2008-02-15,Male,Service,No,3.0,6.0,7.8,0.69
19888,fffe31003100320037003400,2008-04-11,Female,Product,Yes,1.0,3.0,4.4,0.32
13323,fffe31003800380032003300,2008-10-17,Female,Service,Yes,3.0,5.0,4.7,0.35
12284,fffe32003900380035003200,2008-12-02,Male,Service,No,1.0,2.0,5.1,0.42
20058,fffe3800330030003700,2008-11-05,Male,Service,No,0.0,1.0,1.8,0.13
11995,fffe32003000310037003100,2008-08-07,Male,Service,No,1.0,3.0,4.8,0.34
13672,fffe32003800310036003400,2008-08-12,Male,Service,Yes,0.0,1.0,4.4,0.27
822,fffe31003100350035003900,2008-04-29,Male,Service,Yes,2.0,3.0,6.4,0.47
875,fffe32003900300035003600,2008-12-15,Male,Service,No,3.0,7.0,7.7,0.72
17938,fffe360033003100,2008-02-25,Female,Service,Yes,2.0,4.0,4.9,0.3
14663,fffe32003700370031003300,2008-12-02,Male,Product,No,1.0,3.0,6.6,0.5
8200,fffe3800360030003400,2008-07-22,Female,Service,No,3.0,5.0,5.4,0.42
10276,fffe33003000350035003200,2008-11-28,Male,Product,Yes,0.0,1.0,4.3,0.26
13731,fffe360035003000,2008-03-21,Female,Service,Yes,1.0,3.0,5.9,0.46
5,fffe3300350037003500,2008-11-26,Male,Product,Yes,2.0,4.0,3.6,0.29
20553,fffe32003600350031003300,2008-08-28,Female,Service,No,2.0,4.0,5.2,0.32
13560,fffe3700380037003400,2008-05-16,Female,Service,Yes,3.0,6.0,9.7,0.85
6268,fffe33003400330039003400,2008-02-19,Male,Service,Yes,1.0,4.0,5.4,0.44
1723,fffe31003300390039003500,2008-04-07,Female,Service,Yes,1.0,1.0,2.1,0.05
16769,fffe33003000390030003800,2008-08-27,Female,Service,No,2.0,4.0,6.6,0.62
9986,fffe31003000350030003000,2008-02-08,Female,Service,Yes,1.0,3.0,5.2,0.48
21935,fffe32003800300030003800,2008-08-16,Male,Product,No,3.0,7.0,8.7,0.71
15586,fffe31003900380038003900,2008-11-17,Female,Service,No,2.0,5.0,7.2,0.55
6946,fffe32003500300032003700,2008-10-26,Female,Service,Yes,3.0,6.0,5.3,0.44
6435,fffe32003300360030003900,2008-06-10,Male,Product,Yes,0.0,1.0,4.1,0.26
6104,fffe32003500300034003500,2008-08-03,Female,Service,Yes,0.0,1.0,4.7,0.23
6735,fffe3400300036003500,2008-11-09,Female,Product,No,2.0,4.0,6.2,0.39
8044,fffe33003200330031003200,2008-10-26,Female,Service,Yes,3.0,6.0,5.6,0.36
17338,fffe32003400300032003900,2008-10-24,Male,Service,No,5.0,10.0,8.9,0.85
17528,fffe32003100360030003700,2008-02-11,Male,Product,Yes,3.0,4.0,5.0,0.43
2325,fffe3900350031003100,2008-03-13,Male,Product,Yes,3.0,6.0,6.3,0.55
21775,fffe33003300310030003500,2008-12-30,Male,Product,No,3.0,4.0,3.7,0.28
9919,fffe31003700310039003000,2008-08-17,Female,Service,Yes,3.0,6.0,7.4,0.69
3026,fffe32003200360037003700,2008-11-26,Male,Service,Yes,1.0,4.0,5.3,0.32
6477,fffe3700390032003800,2008-01-08,Female,Product,Yes,1.0,2.0,5.5,0.4
15349,fffe32003500370039003700,2008-06-19,Male,Product,No,2.0,4.0,7.1,0.6
12627,fffe33003100360033003800,2008-01-02,Female,Service,No,3.0,5.0,4.7,0.39
10532,fffe3100360035003400,2008-10-28,Female,Product,Yes,1.0,2.0,3.0,0.13
9141,fffe32003500310038003700,2008-03-19,Male,Service,No,2.0,5.0,7.7,0.57
13695,fffe32003300350031003600,2008-06-03,Male,Service,Yes,2.0,5.0,6.5,0.62
2524,fffe33003200360030003700,2008-09-30,Female,Product,No,4.0,7.0,7.0,0.69
6956,fffe31003300370035003400,2008-08-19,Female,Product,Yes,2.0,5.0,6.7,0.43
5799,fffe3100370030003300,2008-02-15,Female,Product,No,3.0,5.0,6.4,0.58
1673,fffe31003800370031003700,2008-09-07,Female,Product,No,4.0,6.0,7.1,0.65
19225,fffe32003900360035003100,2008-12-29,Male,Product,Yes,2.0,2.0,4.8,0.29
3833,fffe31003900380030003400,2008-08-12,Male,Product,No,4.0,8.0,7.5,0.77
22318,fffe31003000350031003000,2008-07-22,Male,Product,No,3.0,6.0,6.3,0.58
8429,fffe31003300320030003700,2008-12-23,Female,Service,Yes,3.0,6.0,6.8,0.57
15777,fffe31003900390033003600,2008-08-18,Male,Product,No,4.0,7.0,6.7,0.67
6494,fffe31003700330036003800,2008-05-02,Female,Service,No,3.0,7.0,8.1,0.71
8691,fffe32003700370039003700,2008-12-07,Female,Service,Yes,0.0,1.0,3.2,0.16
13477,fffe33003000300039003700,2008-09-18,Female,Service,Yes,2.0,4.0,7.2,0.5
18206,fffe33003400390030003400,2008-05-27,Female,Service,Yes,1.0,3.0,5.1,0.27
22532,fffe32003000380030003900,2008-01-31,Male,Product,Yes,3.0,6.0,6.5,0.57
14318,fffe32003800330030003200,2008-02-13,Female,Service,No,3.0,6.0,6.3,0.52
14601,fffe31003800370036003300,2008-10-18,Male,Product,No,3.0,5.0,7.0,0.58
3815,fffe32003700350039003600,2008-01-02,Male,Service,No,2.0,6.0,7.1,0.63
7556,fffe350037003500,2008-07-28,Female,Product,Yes,2.0,3.0,2.6,0.15
552,fffe32003600340039003400,2008-02-28,Female,Service,No,4.0,8.0,9.0,0.74
1053,fffe32003300390037003400,2008-05-13,Female,Product,Yes,2.0,5.0,7.0,0.47
14033,fffe32003300370030003700,2008-08-03,Male,Product,No,3.0,4.0,5.2,0.37
11708,fffe3800310037003700,2008-10-05,Female,Product,Yes,3.0,7.0,6.9,0.58
6250,fffe31003900380035003000,2008-11-08,Male,Service,Yes,4.0,7.0,7.1,0.59
17293,fffe32003000300037003600,2008-05-30,Male,Product,Yes,2.0,5.0,6.8,0.51
14286,fffe33003300390031003400,2008-08-07,Male,Service,No,3.0,6.0,8.2,0.64
2145,fffe31003900390036003000,2008-10-06,Male,Service,Yes,2.0,4.0,6.2,0.44
9345,fffe31003800360036003400,2008-05-13,Male,Service,Yes,3.0,5.0,6.8,0.47
3846,fffe33003200380034003600,2008-07-23,Female,Service,Yes,3.0,5.0,6.1,0.46
19948,fffe32003700300033003500,2008-01-21,Male,Service,Yes,2.0,4.0,4.6,0.36
10498,fffe32003700380031003600,2008-11-03,Female,Service,No,3.0,7.0,7.5,0.7
117,fffe31003500390038003000,2008-01-04,Female,Product,Yes,2.0,4.0,5.9,0.45
12422,fffe31003700380036003900,2008-02-02,Female,Service,No,2.0,3.0,6.2,0.49
19754,fffe33003100310039003200,2008-05-31,Female,Service,Yes,3.0,5.0,5.7,0.34
3078,fffe3900330033003000,2008-05-05,Female,Service,No,3.0,5.0,6.8,0.69
18281,fffe3800300033003500,2008-01-11,Male,Product,Yes,3.0,5.0,4.5,0.39
17348,fffe3100360038003700,2008-07-22,Female,Service,Yes,0.0,1.0,2.4,0.06
4480,fffe3500310036003900,2008-07-26,Male,Product,Yes,4.0,7.0,5.6,0.5
7263,fffe31003000310038003800,2008-11-02,Female,Service,No,4.0,7.0,7.0,0.57
18241,fffe32003600320033003400,2008-03-09,Male,Service,Yes,1.0,4.0,4.5,0.32
16004,fffe3400320036003300,2008-08-25,Male,Service,Yes,1.0,2.0,4.5,0.23
22170,fffe32003700340031003300,2008-09-02,Male,Service,No,4.0,8.0,8.5,0.7
14651,fffe31003500340034003900,2008-06-04,Female,Service,Yes,1.0,3.0,5.9,0.46
19188,fffe33003300380038003000,2008-05-12,Male,Service,Yes,2.0,4.0,2.6,0.19
20077,fffe32003300340033003600,2008-05-25,Male,Service,Yes,3.0,5.0,7.9,0.67
15691,fffe3700390036003600,2008-12-04,Female,Service,Yes,1.0,1.0,0.0,0.0
5519,fffe32003300310039003500,2008-08-10,Female,Service,Yes,1.0,3.0,2.6,0.19
5943,fffe33003300330034003800,2008-09-22,Male,Product,No,3.0,4.0,5.0,0.38
16149,fffe33003100350031003200,2008-08-26,Female,Product,Yes,3.0,7.0,6.5,0.57
3476,fffe33003100320037003900,2008-10-25,Female,Service,Yes,2.0,4.0,4.0,0.33
10138,fffe32003000300038003900,2008-03-10,Female,Service,Yes,3.0,7.0,7.7,0.59
10240,fffe32003500300035003900,2008-06-24,Male,Service,Yes,4.0,9.0,8.7,0.75
19224,fffe33003300300030003200,2008-06-24,Male,Product,No,3.0,5.0,6.6,0.54
20140,fffe31003200390038003000,2008-09-13,Male,Product,Yes,2.0,3.0,5.6,0.41
4792,fffe31003000360037003100,2008-11-12,Male,Product,No,4.0,7.0,6.6,0.55
17397,fffe3600330037003100,2008-11-06,Male,Product,Yes,3.0,5.0,7.0,0.5
17692,fffe370033003100,2008-04-30,Female,Service,No,2.0,4.0,3.8,0.27
21924,fffe33003200340031003300,2008-10-02,Male,Service,Yes,2.0,3.0,4.1,0.23
416,fffe33003300360038003400,2008-06-16,Female,Service,Yes,2.0,4.0,6.5,0.61
11304,fffe3900340033003400,2008-09-21,Male,Product,Yes,3.0,6.0,8.6,0.7
19575,fffe33003300370038003500,2008-10-12,Female,Service,Yes,1.0,4.0,5.1,0.32
2384,fffe33003200340037003100,2008-01-28,Male,Service,Yes,2.0,5.0,6.6,0.51
16415,fffe32003700300033003800,2008-01-16,Female,Product,No,3.0,5.0,6.2,0.5
17135,fffe33003000370032003900,2008-10-06,Female,Service,Yes,3.0,5.0,5.2,0.45
12127,fffe32003200340035003800,2008-04-28,Female,Service,No,2.0,5.0,6.9,0.54
1300,fffe32003600390031003000,2008-08-02,Female,Product,No,2.0,4.0,5.2,0.34
10641,fffe33003300310035003600,2008-12-03,Female,Service,Yes,0.0,1.0,1.0,0.0
764,fffe31003800320031003100,2008-05-05,Female,Service,Yes,4.0,9.0,9.1,0.73
12924,fffe32003100390037003500,2008-02-24,Female,Service,Yes,3.0,4.0,5.6,0.37
21199,fffe33003000350031003900,2008-01-04,Female,Service,Yes,1.0,3.0,5.3,0.3
3946,fffe31003700360038003200,2008-11-14,Female,Service,Yes,2.0,2.0,4.5,0.26
12074,fffe32003500380039003100,2008-02-08,Female,Product,No,5.0,9.0,7.7,0.73
12969,fffe3800320038003100,2008-05-08,Male,Product,No,4.0,8.0,7.0,0.6
5707,fffe33003000350034003100,2008-09-10,Female,Product,No,1.0,1.0,4.5,0.21
10236,fffe3400370034003900,2008-02-19,Female,Service,Yes,0.0,1.0,2.3,0.1
6377,fffe32003600380034003400,2008-05-04,Male,Service,Yes,3.0,4.0,5.3,0.4
7905,fffe31003500300036003400,2008-02-04,Female,Product,No,3.0,5.0,5.1,0.4
13013,fffe32003000310030003200,2008-11-28,Male,Service,Yes,2.0,5.0,7.0,0.51
11567,fffe32003000340031003200,2008-02-17,Female,Service,No,2.0,6.0,5.9,0.57
21863,fffe3700390036003900,2008-09-09,Female,Service,Yes,1.0,3.0,5.0,0.39
3751,fffe33003000330032003200,2008-06-21,Female,Service,Yes,2.0,3.0,7.1,0.5
11590,fffe32003200320037003400,2008-07-20,Male,Service,No,2.0,6.0,6.3,0.57
13604,fffe33003300380036003400,2008-01-02,Male,Product,No,5.0,9.0,7.8,0.79
1114,fffe32003400340030003300,2008-01-11,Female,Product,Yes,2.0,4.0,5.6,0.45
10269,fffe32003500340036003000,2008-09-26,Female,Product,No,0.0,1.0,0.0,0.0
14087,fffe31003000350038003200,2008-09-18,Male,Service,No,5.0,9.0,8.6,0.8
2081,fffe31003100300035003500,2008-11-12,Male,Service,No,4.0,7.0,7.7,0.56
594,fffe31003800390039003900,2008-06-03,Female,Service,Yes,1.0,2.0,4.5,0.29
14914,fffe31003400310034003700,2008-01-18,Female,Product,Yes,2.0,3.0,6.1,0.5
21655,fffe32003100360037003500,2008-05-12,Male,Service,Yes,4.0,8.0,7.6,0.65
71,fffe3500300037003900,2008-01-08,Female,Service,No,3.0,5.0,5.8,0.36
8236,fffe3200310037003100,2008-09-05,Female,Service,No,2.0,5.0,5.6,0.52
15205,fffe32003300320035003800,2008-10-15,Male,Product,No,2.0,6.0,7.1,0.67
13317,fffe3100310031003400,2008-05-19,Female,Service,Yes,3.0,8.0,7.8,0.75
3274,fffe33003200310038003900,2008-07-17,Male,Product,No,1.0,4.0,3.7,0.32
4802,fffe32003200330036003700,2008-04-07,Female,Service,No,0.0,1.0,1.9,0.08
19595,fffe33003100330038003100,2008-11-05,Female,Service,Yes,3.0,5.0,5.4,0.3
1253,fffe32003600380035003200,2008-06-20,Male,Product,Yes,4.0,6.0,6.5,0.57
9139,fffe3800370039003800,2008-12-31,Female,Service,No,3.0,5.0,7.2,0.54
8926,fffe3100370037003800,2008-01-05,Female,Service,Yes,4.0,9.0,7.5,0.75
15050,fffe32003900330035003100,2008-01-17,Male,Service,Yes,2.0,4.0,7.0,0.54
11032,fffe3200300034003300,2008-06-18,Male,Service,Yes,1.0,2.0,1.0,0.0
6004,fffe33003100300031003100,2008-12-22,Female,Service,Yes,1.0,4.0,4.8,0.33
8002,fffe3100380035003500,2008-11-20,Female,Service,Yes,2.0,6.0,6.0,0.54
6798,fffe33003000330033003100,2008-03-15,Female,Product,No,2.0,3.0,4.6,0.3
217,fffe32003000340039003700,2008-06-11,Female,Product,No,3.0,6.0,5.1,0.43
1573,fffe31003500340039003400,2008-10-13,Female,Service,Yes,1.0,3.0,5.0,0.36
15041,fffe31003200350039003900,2008-10-09,Male,Service,Yes,1.0,4.0,6.0,0.37
7524,fffe31003400350038003600,2008-03-25,Female,Service,Yes,1.0,4.0,4.2,0.35
5045,fffe32003300350031003100,2008-02-29,Female,Service,Yes,1.0,2.0,5.0,0.28
12674,fffe31003700330032003700,2008-11-02,Female,Service,Yes,0.0,1.0,0.4,0.0
5176,fffe32003700370030003100,2008-02-07,Female,Service,No,2.0,4.0,8.5,0.66
14815,fffe3300380030003800,2008-05-08,Female,Service,Yes,0.0,1.0,1.6,0.04
22668,fffe370039003100,2008-01-08,Male,Product,No,5.0,9.0,9.1,0.83
10439,fffe31003400320037003900,2008-06-26,Female,Product,No,2.0,4.0,5.8,0.39
16133,fffe3600330032003500,2008-08-30,Male,Product,No,3.0,7.0,6.1,0.54
16259,fffe32003700330030003000,2008-12-31,Female,Service,Yes,1.0,2.0,3.5,0.26
7803,fffe31003200340038003600,2008-10-17,Female,Service,No,3.0,6.0,9.5,0.82
22225,fffe32003000320036003500,2008-07-13,Female,Service,No,3.0,5.0,7.0,0.47
11072,fffe33003300340031003000,2008-10-27,Female,Service,Yes,3.0,5.0,3.8,0.3
21134,fffe32003900340039003100,2008-02-03,Male,Service,Yes,2.0,4.0,6.3,0.39
1093,fffe3400390038003100,2008-03-10,Female,Product,No,0.0,1.0,0.7,0.02
124,fffe32003400390034003500,2008-03-03,Male,Service,No,1.0,3.0,4.4,0.29
15591,fffe3100330033003500,2008-07-27,Male,Service,No,1.0,2.0,6.4,0.44
14762,fffe32003200380038003400,2008-01-27,Male,Service,No,3.0,7.0,8.3,0.73
11967,fffe33003000320039003000,2008-11-07,Female,Service,Yes,3.0,7.0,7.1,0.63
1341,fffe31003400370036003900,2008-07-06,Male,Product,Yes,2.0,3.0,4.8,0.39
18188,fffe32003600350036003400,2008-09-23,Female,Product,Yes,2.0,4.0,4.9,0.41
18379,fffe31003100300035003100,2008-04-30,Male,Product,Yes,2.0,4.0,4.9,0.33
18088,fffe31003400300030003700,2008-01-02,Male,Product,Yes,1.0,4.0,5.4,0.34
22240,fffe31003500350038003000,2008-01-30,Male,Service,Yes,3.0,4.0,5.4,0.35
21042,fffe3300390033003200,2008-02-05,Female,Service,Yes,3.0,4.0,6.7,0.48
1826,fffe3200350034003100,2008-09-01,Female,Service,Yes,4.0,7.0,8.5,0.83
22311,fffe33003400350035003400,2008-07-23,Female,Product,Yes,2.0,4.0,5.1,0.47
10238,fffe32003700370032003000,2008-10-09,Female,Service,Yes,2.0,4.0,4.6,0.31
15151,fffe33003300370032003800,2008-10-14,Male,Service,Yes,3.0,5.0,5.0,0.41
8086,fffe32003400380033003800,2008-12-22,Female,Service,Yes,3.0,7.0,6.7,0.52
12506,fffe31003600360034003000,2008-06-17,Male,Service,No,4.0,7.0,8.3,0.64
10659,fffe31003400380030003500,2008-11-23,Male,Service,No,2.0,4.0,7.5,0.63
9632,fffe33003200350036003500,2008-06-14,Female,Service,No,2.0,6.0,7.4,0.63
6844,fffe32003200330039003200,2008-12-29,Female,Product,Yes,0.0,2.0,4.7,0.24
1606,fffe31003800390036003900,2008-07-29,Male,Service,No,4.0,8.0,9.4,0.8
3462,fffe3200340035003500,2008-07-05,Female,Product,Yes,2.0,4.0,5.0,0.36
7992,fffe32003200390032003100,2008-04-24,Female,Service,Yes,2.0,4.0,6.2,0.46
15663,fffe32003400370035003700,2008-10-19,Female,Service,No,1.0,2.0,2.6,0.17
13199,fffe32003800350038003800,2008-10-03,Male,Service,Yes,0.0,2.0,2.3,0.11
21139,fffe3100320035003500,2008-12-10,Male,Product,Yes,2.0,4.0,3.9,0.34
7049,fffe33003400320035003200,2008-07-24,Male,Service,Yes,3.0,4.0,4.9,0.4
2031,fffe32003400380030003700,2008-08-09,Female,Service,Yes,3.0,6.0,9.6,0.85
4257,fffe3900340030003000,2008-10-25,Female,Service,Yes,1.0,1.0,5.0,0.25
10357,fffe32003000310035003200,2008-12-31,Female,Service,Yes,1.0,1.0,3.3,0.16
2503,fffe32003600300033003100,2008-11-27,Female,Product,Yes,4.0,6.0,7.3,0.55
21629,fffe33003200390030003600,2008-05-12,Female,Service,Yes,2.0,4.0,7.3,0.5
22127,fffe3800360032003600,2008-06-19,Female,Product,No,4.0,8.0,7.1,0.7
4112,fffe31003200300034003400,2008-04-13,Male,Product,No,3.0,7.0,6.7,0.59
19072,fffe32003600330030003400,2008-06-23,Female,Service,Yes,1.0,2.0,6.3,0.43
14823,fffe33003000360034003300,2008-01-01,Female,Service,No,0.0,2.0,2.5,0.19
8165,fffe32003500310032003200,2008-11-19,Female,Product,No,4.0,7.0,7.6,0.6
12536,fffe31003800380037003100,2008-01-01,Female,Service,No,1.0,3.0,4.1,0.28
11437,fffe3400380033003800,2008-10-12,Male,Service,No,3.0,7.0,7.4,0.53
21984,fffe33003200330038003300,2008-07-20,Female,Service,Yes,2.0,5.0,7.7,0.61
11811,fffe320039003000,2008-08-01,Female,Service,No,3.0,6.0,6.5,0.51
7493,fffe32003700390034003900,2008-04-08,Female,Service,Yes,1.0,3.0,3.7,0.24
17551,fffe31003100370034003900,2008-10-07,Female,Service,Yes,1.0,2.0,2.7,0.14
9938,fffe3100320039003900,2008-05-11,Male,Service,No,5.0,10.0,9.8,0.91
5506,fffe3500310038003500,2008-03-18,Female,Service,No,1.0,4.0,6.2,0.4
20550,fffe32003800390038003700,2008-02-13,Female,Service,Yes,2.0,3.0,6.8,0.5
14834,fffe31003400310034003000,2008-10-08,Male,Product,No,1.0,3.0,5.8,0.36
12051,fffe31003500320031003200,2008-05-04,Male,Service,Yes,2.0,5.0,6.3,0.39
965,fffe31003100350035003700,2008-08-15,Male,Service,Yes,1.0,2.0,3.2,0.12
5297,fffe32003900370033003800,2008-01-16,Male,Product,No,2.0,4.0,5.2,0.28
17454,fffe33003100320033003200,2008-09-12,Male,Service,No,2.0,5.0,6.8,0.57
10268,fffe31003400350035003500,2008-01-21,Female,Service,Yes,2.0,4.0,6.1,0.44
14506,fffe32003600300032003800,2008-08-24,Male,Service,No,3.0,6.0,6.7,0.62
12673,fffe3900320034003900,2008-05-16,Female,Service,Yes,3.0,5.0,7.6,0.64
18909,fffe3400350036003700,2008-05-11,Female,Product,No,2.0,6.0,5.5,0.52
3075,fffe33003100380039003600,2008-02-14,Male,Service,Yes,1.0,4.0,3.9,0.34
4038,fffe33003400320033003800,2008-07-07,Male,Product,Yes,1.0,3.0,2.6,0.2
589,fffe31003600350038003500,2008-11-23,Female,Service,Yes,3.0,4.0,5.2,0.29
15880,fffe31003800340039003600,2008-03-10,Male,Service,Yes,4.0,6.0,6.5,0.58
19866,fffe32003300300031003200,2008-10-08,Female,Product,No,2.0,3.0,2.6,0.21
4353,fffe32003600390038003500,2008-05-18,Male,Service,No,3.0,6.0,7.6,0.56
17102,fffe31003800310035003100,2008-08-22,Female,Service,Yes,3.0,5.0,6.0,0.43
5405,fffe31003600340039003500,2008-05-29,Female,Service,No,4.0,8.0,8.1,0.7
938,fffe31003800350034003000,2008-10-08,Female,Product,No,4.0,7.0,10.0,0.88
22295,fffe32003800320032003100,2008-02-20,Female,Service,No,2.0,4.0,7.6,0.55
645,fffe3500350033003200,2008-09-29,Female,Service,Yes,3.0,7.0,7.5,0.77
